type;id;name;gender
;;Dresdener Straße;
;;Drosselstraße;
;;Dükerweg;
;;Dünsbergstraße;
;Q5580;Dürerstraße;m
;;Ebsdorfer Straße;
;Q76749;Edith-Stein-Straße;w
;;Egerländer Weg;
;Q77204;Eichendorffstraße;m
;;Eichgarten;
;;Eichweg;
;;Eisenacher Weg;
;;Eisenstraße;
;Q215424;Elisabeth-Blochmann-Platz;w
;Q70670;Elisabeth-von-Thadden-Straße;w
;Q159862;Elisabethstraße;w
;;Elnhäuser Straße;
;Q469673;Elsa‑Brandström‑Straße;w
;Q23951788;Elsenhöhe;w
;Q1273572;Emil‑Mannkopff‑Straße;m
;Q76425;Emil‑von‑Behring‑Straße;m
;;Enge Gasse;-
;;Enserweg;
;;Erbsengasse;
;;Erfurter Straße;
;;Erlenring;
;-;Ernst‑Giller‑Straße;m
;Q897275;Ernst‑Lemmer‑Straße;m
;Q57351;Ernst‑Moritz‑Arndt‑Straße;m
;Q213561;Ernst‑Reuter‑Straße;m
;;Eschenweg;
;;Eulenkopfstraße;
;;Europabadstraße;
;;Ewiges Tal;
;;Fähnrichsweg;
;;Falkenweg;
;;Fasanenweg;
;;Feldbergstraße;
;;Feldweg;
;;Feuerdornweg;
;;Fichtenweg;
;;Fichtestraße;
;;Finkenstraße;
;;Firmaneiplatz;
;;Firmaneistraße;
;;Fischteich;
;;Flachspfuhl;
;;Fliederstraße;
;;Fohlengarten;
;Q76632;Fontanestraße;m
;;Försterweg;
;;Forsthausstraße;
;Q1794;Frankfurter Straße;-
;Q15429217;Franz‑Leonhard‑Weg;m
;Q11698836;Franz‑Tuczek‑Weg;m
;;Frauenbergstraße;
;Q213542;Freiherr‑vom‑Stein‑Straße;m
;;Friedensplatz;
;;Friedhofstraße;
;;Friedhofsweg;
;Q2646;Friedrich‑Ebert‑Straße;m
;Q76679;Friedrich‑Fröbel‑Straße;m
;Q76811;Friedrich‑Naumann‑Straße;m
;Q1462240;Friedrich‑Siebert‑Weg;m
;Q58600;Friedrichsplatz;m
;Q58600;Friedrichstraße;m
;;Fuchspaß;
;;Fünfhausen;
;;Furthstraße;
;;Gabelsbergerstraße;
;;Galgenweg;
;;Gänsegässchen;
;;Gartenweg;
;;Gasseweg;
;;Gebrüderstraße;
;;Gehrensgäßchen;
;Q154014;Georg-Büchner-Weg;m
;Q77269;Georg-Elser-Straße;m
;Q99842;Georg-Voigt-Straße;m
;;Gerbergäßchen;
;Q73924;Gerhard-Jahn-Platz;m
;Q43523;Gerhart-Hauptmann-Straße;m
;;Gerichtsweg;
;"Q566212;Q76972;Q57820";Geschwister‑Scholl‑Straße;""+""
;;Gießener Straße;
;;Ginseldorfer Weg;
;;Ginsterweg;
;;Gisonenweg;
;Q1527643;Gisselberger Straße;-
;;Gladenbacher Weg;
;;Glammbergweg;
;Q5879;Goethestraße;m
;;Goldberg;
;;Goldbergstraße;
;;Görlitzer Weg;
;;Görzhäuser Hof;
;;Görzhäuser Weg;
;;Goßfeldener Allee;
;;Goßfeldener Straße;
;Q122370;Gottfried‑Keller‑Straße;m
;;Götzenhainweg;
;;Grabenstraße;
;Q21209;Graf‑von‑Stauffenberg‑Straße;m
;;Greifswalder Weg;
;;Große Wiese;
;;Großseelheimer Straße;
;;Gründeberg;
;;Grüner Weg;
;;Grünschiebel;
;;Gunzelinweg;
;Q58811;Gustav‑Freytag‑Straße;m
;Q8958;Gutenbergstraße;m
;-;Habichtstalgasse;-
;;Hachborner Straße;
;;Haddamshäuser Straße;
;;Hahnbergstraße;
;-;Hahnengasse;-
;;Hahnerheide;
;Q1510380;Hainweg;-
;;Hallenberger Straße;
;;Halmburger Weg;
;;Hangstraße;
;Q60025;Hannah-Arendt-Straße;w
;Q106165;Hanno-Drechsler-Platz;m
;Q99052;Hans‑Meerwein‑Straße;m
;Q19543;Hans‑Sachs‑Straße;m
;;Hansenhäuserweg;
;;Harthweg;
;;Haselhecke;
;;Hasenberg;
;;Haspelgäßchen;
;-;Haspelstraße;-
;;Hattersbach;
;;Hebronberg;
;Q1593358;Hedwig-Jahnow-Straße;w
;;Heide;
;Q44403;Heinrich‑Heine‑Straße;m
;Q153643;Heinrich‑Schütz‑Straße;m
;;Heljehaus;
;;Helwigswiese;
;;Herbenerstraße;
;Q1610623;Hermann-Bauer-Weg;m
;Q76709;Hermann-Cohen-Weg;m
;Q1611633;Hermann-Jacobsohn-Weg;m
;Q1613326;Hermann‑von‑Vultee‑Weg;m
;;Hermershäuser Straße;
;Q77602;Herrmannstraße;m
;;Hetzelweg;
;;Heugäßchen;
;;Heumarkt;
;Q92528;Heusingerstraße;m
;Q215201;Hildegard-Hamm-Brücher-Platz;w
;;Himbornstraße;
;;Hinterfeld;
;;Hintergasse;
;-;Hirschberg;-
;;Hirtenberg;
;;Hirtengarten;
;-;Hofstatt;-
;;Hofweide;
;;Hohe Leuchte;
;;Höhenweg;
;;Höhlsgasse;
;;Hohlweg;
;Q75889;Hölderlinstraße;m
;;Holderstrauch;
;;Holunderweg;
;;Holzgasse;
;;Hopfengarten;
;;Hoschecke;
;;Hospitalwaldstraße;
;;Hubgraben;
;;Huteweg;
;;Im Alten Wasser;
;;Im Boden;
;;Im Calderschen Grund;
;;Im Dorfe;
;;Im Feldchen;
;;Im Gang;
;;Im Gefälle;
;;Im Graben;
;;Im Grund;
;;Im Grunel;
;;Im Grünen Tal;
;;Im Hain;
;;Im Hainbach;
;;Im Helling;
;;Im Hirtental;
;;Im Köhlersgrund;
;;Im Lichtenholz;
;;Im Loch;
;;Im Loh;
;;Im Paradies;
;;Im Rudert;
;;Im Schwarzenborn;
;;Im Sohlgraben;
;;Im Sonnenwinkel;
;;Im Stiftsfeld;
;;Im Unterdorf;
