name;source;gender;wikidata;type
Louisa-Biland-Platz;wikidata;w;Q131695604;
Ludwig-Bickell‑Treppe;wikidata;m;Q1874222;
Ludwig‑Juppe‑Weg;wikidata;m;Q1874624;
Luise-Berthold-Straße;wikidata;w;Q1876601;
Lutherstraße;wikidata;m;Q9554;
Mansaley-Kobba-Weg;wikidata;m;-;
Marie‑Louise‑Hensel‑Weg;wikidata;w;Q29167866;
Mörikestraße;wikidata;m;Q63699;
Mozartstraße;wikidata;m;Q254;
Nikolaistraße;wikidata;""+"";;
Otto-Loewi-Straße;wikidata;m;Q77173;
Pasternakstraße;wikidata;m;Q41223;
Paul‑Ehrlich‑Weg;wikidata;m;Q57089;
Paul‑Natorp‑Straße;wikidata;m;Q76504;
Pestalozzistraße;wikidata;m;Q105428;
Platz der Weißen Rose;wikidata;""+"";Q153364;
Radestraße;wikidata;m;Q123334;
Reutergasse;wikidata;m;Q213561;
Richard‑Hamann‑Weg;wikidata;m;Q105944;
Rilkeweg;wikidata;m;Q76483;
Robert‑Koch‑Straße;wikidata;m;Q37193;
Rückertweg;wikidata;m;Q60644;
Rudolf-Breitscheid-Straße;wikidata;m;Q70890;
Rudolf‑Bultmann‑Straße;wikidata;m;Q76327;
Rudolf‑Klapp‑Straße;wikidata;m;Q15449141;
Rudolphsplatz;wikidata;m;Q5535640;
Sankt‑Florian‑Straße;wikidata;m;Q298845;
Sankt‑Martin‑Straße;wikidata;m;Q133704;
Savignystraße;wikidata;m;Q76892;
Schillerstraße;wikidata;m;Q22670;
Schubertstraße;wikidata;m;Q7312;
Schückingstraße;wikidata;m;Q74745;
Schwanallee;wikidata;m;-;
Siemensstraße;wikidata;m;Q58577;
Sophie‑von‑Brabant‑Weg;wikidata;w;Q70840;
Spiegelslust;wikidata;m;Q1716889;
Spiegelslustweg;wikidata;m;Q1716889;
Stephan‑Niderehe‑Straße;wikidata;m;-;
Stresemannstraße;wikidata;m;Q103955;
Sybelstraße;wikidata;m;Q65600;
Sylvester‑Jordan‑Straße;wikidata;m;Q214620;
Tada-Urata-Platz;wikidata;w;-;
Tawara-Aschoff-Knoten;wikidata;w;-;
Temmlerstraße;wikidata;m;Q94880435;
Tischbeinweg;wikidata;m;Q1320168;
Tom-Mutters-Straße;wikidata;m;Q21032817;
Trojedamm;wikidata;m;Q7154076;
Ubbelohdestraße;wikidata;m;Q975596;
von‑Harnack‑Straße;wikidata;m;Q164699;
von‑Keitz‑Straße;wikidata;m;-;
Weintrautstraße;wikidata;m;Q139172266;
Werderstraße;wikidata;m;Q64634;
Werner-Karry-Weg;wikidata;m;-;
Wilhelm‑Busch‑Straße;wikidata;m;Q111325;
Wilhelm‑Raabe‑Weg;wikidata;m;Q60647;
Wilhelm‑Röpke‑Straße;wikidata;m;Q62444;
Wilhelm‑Roser‑Straße;wikidata;m;Q87211;
Wilhelmsplatz;wikidata;m;Q150652;
Wilhelmstraße;wikidata;m;Q150652;
Willi-Weitzel-Weg;wikidata;m;-;
Willy‑Mock‑Straße;wikidata;m;-;
Willy-Sage-Platz;wikidata;m;;
Wolffstraße;wikidata;m;Q76510;
Zeppelinstraße;wikidata;m;Q75780;
