name;source;gender;wikidata;type
Fischteich;;;;
Flachspfuhl;;;;
Fliederstraße;;;;
Fohlengarten;;;;
Försterweg;;;;
Forsthausstraße;;;;
Frankfurter Straße;wikidata;-;Q1794;
Frauenbergstraße;;;;
Friedensplatz;;;;
Friedhofstraße;;;;
Friedhofsweg;;;;
Fuchspaß;;;;
Fünfhausen;;;;
Furthstraße;;;;
Gabelsbergerstraße;;;;
Galgenweg;;;;
Gänsegässchen;;;;
Gartenweg;;;;
Gasseweg;;;;
Gebrüderstraße;;;;
Gehrensgäßchen;;;;
Gerbergäßchen;;;;
Gerbergäßchen;;;;
Gerichtsweg;;;;
Gießener Straße;;;;
Ginseldorfer Weg;;;;
Ginsterweg;;;;
Gisonenweg;;;;
Gisselberger Straße;wikidata;-;Q1527643;
Gladenbacher Weg;;;;
Glammbergweg;;;;
Goldberg;;;;
Goldbergstraße;;;;
Görlitzer Weg;;;;
Görzhäuser Hof;;;;
Görzhäuser Weg;;;;
Goßfeldener Allee;;;;
Goßfeldener Straße;;;;
Götzenhainweg;;;;
Grabenstraße;;;;
Greifswalder Weg;;;;
Große Wiese;;;;
Großseelheimer Straße;;;;
Gründeberg;;;;
Grüner Weg;;;;
Grünschiebel;;;;
Gunzelinweg;;;;
Habichtstalgasse;;-;-;
Hachborner Straße;;;;
Haddamshäuser Straße;;;;
Hahnbergstraße;;;;
Hahnengasse;;-;-;
Hahnerheide;;;;
Hainweg;wikidata;-;Q1510380;
Hallenberger Straße;;;;
Halmburger Weg;;;;
Hangstraße;;;;
Hansenhäuserweg;;;;
Harthweg;;;;
Haselhecke;;;;
Hasenberg;;;;
Haspelgäßchen;;;;
Haspelstraße;;-;-;
Hattersbach;;;;
Hebronberg;;;;
Heide;;;;
Heljehaus;;;;
Helwigswiese;;;;
Herbenerstraße;;;;
Hermershäuser Straße;;;;
Hetzelweg;;;;
Heugäßchen;;;;
Heumarkt;;;;
Himbornstraße;;;;
Hinterfeld;;;;
Hintergasse;;;;
Hirschberg;;-;-;
Hirtenberg;;;;
Hirtengarten;;;;
Hofstatt;;-;-;
Hofweide;;;;
Hohe Leuchte;;;;
Höhenweg;;;;
Höhlsgasse;;;;
Hohlweg;;;;
Holderstrauch;;;;
Holunderweg;;;;
Holzgasse;;;;
Hopfengarten;;;;
Hoschecke;;;;
Hospitalwaldstraße;;;;
Hubgraben;;;;
Huteweg;;;;
Im Alten Wasser;;;;
Im Boden;;;;
Im Calderschen Grund;;;;
Im Dorfe;;;;
Im Feldchen;;;;
Im Gang;;;;
Im Gefälle;;;;
Im Graben;;;;
Im Grund;;;;
Im Grunel;;;;
Im Grünen Tal;;;;
Im Hain;;;;
Im Hainbach;;;;
Im Helling;;;;
Im Hirtental;;;;
Im Köhlersgrund;;;;
Im Lichtenholz;;;;
Im Loch;;;;
Im Loh;;;;
Im Paradies;;;;
Im Rudert;;;;
Im Schwarzenborn;;;;
Im Sohlgraben;;;;
Im Sonnenwinkel;;;;
Im Stiftsfeld;;;;
Im Unterdorf;;;;
Im Wiesengrund;;;;
Im Winkel;;;;
In der Badestube;;;;
In der Gemoll;;;;
In der Görtzbach;;;;
In der Hohl;;;;
In der Knutzbach;;;;
In der Struth;;;;
In der Wann;;;;
Industriestraße;;;;
Jägerstraße;;;;
Jakobsgasse;;;;
Jenaer Weg;;;;
Johannesgasse;;;;
Kaffweg;;-;-;
Kämpfrasen;;;;
Kappesgasse;;-;-;
Karlsbader Weg;;;;
Kastanienstraße;;;;
Kellerwaldstraße;;;;
Ketzerbach;;-;-;
Kiefernweg;;;;
Kiliansgasse;;;;
Kirchgasse;;;;
Kirchgraben;;;;
Kirchspitze;;;;
Kirchstraße;;;;
Kirchweg;;;;
Kleine Ortenberggasse;;;;
Köhlersgrundgasse;;;;
Kohlwaldweg;;;;
Königsberger Straße;;;;
Königsberger Weg;;;;
Königstraße;;;;
Kornbergweg;;;;
Körnerstraße;;;;
Kornmarkt;;;;
Krähenweg;;;;
Krebsgasse;;;;
Kreutzacker;;;;
Kreuzweg;;;;
Krummbogen;;-;-;
Kuhnsgasse;;;;
Lahnbergstraße;;;;
Lahnblick;;;;
Lahnstraße;;;;
Lahntor;;-;-;
Landgrafenweg;;;;
Langewiesenweg;;;;
Langgasse;;-;-;
Lärchenweg;;;;
Leckergäßchen;;-;-;
Leipziger Straße;;;;
Leiserweg;;;;
Lichtweg;;;;
Lilienstraße;;;;
Lindenplatz;;;;
Lindenweg;;;;
Lingelgasse;;-;-;
Lintzingsweg;;;;
Lippersbach;;;;
Löchels Gäßchen;;;;
Lohgarten;;;;
Lohgasse;;;;
Lönsweg;;;;
Lutherischer Kirchhof;;-;-;
Magdeburger Straße;;;;
Mainzer Gasse;;-;;
Marbacher Weg;;;;
Marburger Straße;;;;
Mariborer Straße;;;;
Markt;;;;
Marktgasse;;;;
Markthöhe;;;;
Mauerstraße;;;;
Mecklenburger Straße;;;;
Meisenweg;;;;
Mengelsgasse;;;;
Metzgergasse;;;;
Michelbacher Straße;;;;
Minksweg;;;;
Mittelhausen;;;;
Mittelweg;;;;
Moischter Straße;;;;
Molkereistraße;;;;
Mönchwaldstraße;;;;
Mühlbachweg;;;;
Mühlenbergstraße;;;;
Mühltreppe;;;;
Mühlweg;;;;
Muldenweg;;;;
Nelkenweg;;;;
Nesselberg;;;;
Nesselbrunner Straße;;;;
Neue Kasseler Straße;;;;
Neue Straße;;;;
Neuhöfe;;;;
Neustadt;;;;
Nibelungenweg;;;;
Niederweimarer Straße;;;;
Nonnengasse;;;;
Nonnhäuser Weg;;;;
Oberdorf;;;;
Oberer Eichweg;;;;
Oberer Rotenberg;;;;
Oberfeld;;;;
